variable,Periodo,mes,Cartera de Alto Riesgo / Créditos Directos (%),Ratio de Liquidez en M.N. (%) (promedio del mes),
CMAC.Arequipa,2013,Diciembre,6.69,30.26,4.523168909
CMAC.Cusco,2013,Diciembre,5.12,24.51,4.787109375
CMAC.Del.Santa,2013,Diciembre,20.1,45.12,2.244776119
CMAC.Huancayo,2013,Diciembre,4.2,43.15,10.27380952
CMAC.Ica,2013,Diciembre,8.1,48.28,5.960493827
CMAC.Maynas,2013,Diciembre,10.77,59,5.47818013
CMAC.Paita,2013,Diciembre,14.63,30.66,2.09569378
CMAC.Pisco,2013,Diciembre,11.94,24.63,2.06281407
CMAC.Piura,2013,Diciembre,7.77,36.07,4.642213642
CMAC.Sullana,2013,Diciembre,8.37,30.68,3.665471924
CMAC.Tacna,2013,Diciembre,6.85,28.66,4.183941606
CMAC Trujillo,2013,Diciembre,7.98,52.93,6.63283208
Total.CMAC,2013,Diciembre,7.27,36.32,4.995873453
CMCP.Lima,2013,Diciembre,14.94,70.2,4.698795181
Total.CM,2013,Diciembre,7.6,38.13,5.017105263
